START Sun May 31 09:43:06 PM CEST 2026  log=/home/tudor/dev/request-cancellation-research/experiments/sq3/logs/e4_refix_20260531_214306.log
=== RUN A: cancel_at=50ms dense ===

  trial 43/50: ghost=1  (cumulative: 42/43)
  trial 44/50: ghost=1  (cumulative: 43/44)
  trial 45/50: ghost=1  (cumulative: 44/45)
  trial 46/50: ghost=1  (cumulative: 45/46)
  trial 47/50: ghost=1  (cumulative: 46/47)
  trial 48/50: ghost=1  (cumulative: 47/48)
  trial 49/50: ghost=1  (cumulative: 48/49)
  trial 50/50: ghost=1  (cumulative: 49/50)

E4b transition | aspnet | D=62ms | cancel_at=50ms | runs=50
────────────────────────────────────────────────────────────
  trial 1/50: ghost=0  (cumulative: 0/1)
  trial 2/50: ghost=0  (cumulative: 0/2)
  trial 3/50: ghost=0  (cumulative: 0/3)
  trial 4/50: ghost=0  (cumulative: 0/4)
  trial 5/50: ghost=0  (cumulative: 0/5)
  trial 6/50: ghost=0  (cumulative: 0/6)
  trial 7/50: ghost=0  (cumulative: 0/7)
  trial 8/50: ghost=0  (cumulative: 0/8)
  trial 9/50: ghost=0  (cumulative: 0/9)
  trial 10/50: ghost=0  (cumulative: 0/10)
  trial 11/50: ghost=0  (cumulative: 0/11)
  trial 12/50: ghost=0  (cumulative: 0/12)
  trial 13/50: ghost=0  (cumulative: 0/13)
  trial 14/50: ghost=0  (cumulative: 0/14)
  trial 15/50: ghost=0  (cumulative: 0/15)
  trial 16/50: ghost=0  (cumulative: 0/16)
  trial 17/50: ghost=0  (cumulative: 0/17)
  trial 18/50: ghost=0  (cumulative: 0/18)
  trial 19/50: ghost=0  (cumulative: 0/19)
  trial 20/50: ghost=0  (cumulative: 0/20)
  trial 21/50: ghost=0  (cumulative: 0/21)
  trial 22/50: ghost=0  (cumulative: 0/22)
  trial 23/50: ghost=0  (cumulative: 0/23)
  trial 24/50: ghost=0  (cumulative: 0/24)
  trial 25/50: ghost=0  (cumulative: 0/25)
  trial 26/50: ghost=0  (cumulative: 0/26)
  trial 27/50: ghost=0  (cumulative: 0/27)
  trial 28/50: ghost=0  (cumulative: 0/28)
  trial 29/50: ghost=0  (cumulative: 0/29)
